species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39661,34658,34501,27861,32976,31602,34599
Bacillus subtilis,5617,6100,7864,4502,4446,4983,5507
Bacillus inaquosorum,137,145,126,87,107,92,112
Bacillus vallismortis,124,138,147,65,104,98,105
Bacillus halotolerans,66,73,48,60,NA,60,72
Bacillus stercoris,140,95,120,94,104,129,126
Bacillus tequilensis,43,33,48,46,38,32,56
Bacillus atrophaeus,29,29,25,NA,21,28,24
Bacillus rugosus,56,57,51,27,32,47,43
Bacillus cabrialesii,39,29,27,NA,27,29,30
Staphylococcus aureus,27015,19924,26102,24906,37718,39697,39738
Listeria monocytogenes,23379,19673,24116,25906,35989,36434,38368
Listeria innocua,153,105,162,144,200,205,190
Listeria welshimeri,50,29,49,28,64,51,49
Listeria swaminathanii,46,30,68,66,78,60,56
Listeria seeligeri,23,NA,25,NA,35,38,23
Listeria ivanovii,21,NA,22,27,46,40,41
Enterococcus faecalis,33962,28739,37061,30964,35569,36032,37933
Limosilactobacillus fermentum,16948,13650,16126,19742,27670,25585,30344
Salmonella enterica,50247,47147,44693,32560,41992,39934,41360
Salmonella bongori,45,166,38,23,112,152,NA
Salmonella sp. WGH-01,41,29,44,NA,NA,NA,NA
Escherichia coli,34076,39537,29573,21748,24334,20164,26333
Escherichia albertii,72,48,55,37,45,30,28
Escherichia fergusonii,45,27,33,29,NA,NA,30
Escherichia sp. E4742,34,NA,26,NA,NA,NA,NA
Escherichia marmotae,36,NA,23,22,NA,NA,NA
Shigella flexneri,955,398,NA,NA,NA,NA,NA
Shigella dysenteriae,144,117,149,NA,NA,NA,NA
Klebsiella pneumoniae,137,106,94,159,86,NA,167
Pseudomonas aeruginosa,24046,21016,16681,15744,27453,23343,33675
Cryptococcus neoformans,7662,5680,8395,6117,4928,4394,5113
Saccharomyces cerevisiae,7001,7868,6889,6520,6221,7060,5825
Saccharomyces paradoxus,74,60,72,37,59,51,52
Lactuca sativa,27,NA,NA,NA,NA,NA,NA
