species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,8987,4734,6035,4086,5466,4143,4793
Bacillus inaquosorum,26,NA,NA,NA,NA,NA,NA
Bacillus subtilis,174,NA,NA,NA,NA,395,NA
Staphylococcus aureus,5037,2516,4105,3015,5721,5072,4926
Listeria monocytogenes,4722,2374,3734,3145,5772,4736,4828
Listeria innocua,20,NA,21,NA,12,42,42
Enterococcus faecalis,6917,3559,5490,3675,5544,4777,4725
Limosilactobacillus fermentum,3593,1439,2141,2533,3601,2921,3350
Actinomyces oris,10,NA,NA,NA,NA,NA,NA
Salmonella enterica,12632,5586,7043,5011,5976,5511,5912
Escherichia coli,7018,4406,3940,2842,3996,2251,2807
Pseudomonas aeruginosa,4732,2186,2047,2318,3413,2435,3170
Cryptococcus neoformans,1399,552,900,734,564,457,525
Saccharomyces cerevisiae,937,629,704,443,645,495,506
