species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,34224,27598,23957,23281,26838,24827,29307
Bacillus subtilis,2172,2178,7586,NA,2427,2325,NA
Bacillus inaquosorum,108,101,79,NA,82,NA,83
Staphylococcus aureus,19850,14557,19721,17446,28316,27878,28244
Listeria monocytogenes,18868,14525,18432,18864,28579,27165,28111
Listeria innocua,120,NA,196,NA,126,385,373
Enterococcus faecalis,27671,21345,27259,22205,27590,27347,28139
Limosilactobacillus fermentum,13503,9650,11717,13976,20469,18102,21283
Salmonella enterica,47766,35040,36136,27459,33046,31100,35218
Escherichia coli,29189,31326,25153,16984,22716,18401,21911
Pseudomonas aeruginosa,17392,15392,12234,11641,20219,17147,21685
Pseudomonas sp. CIP-10,442,NA,NA,NA,NA,NA,NA
