Sample	BP	Sh	F	Si	ISi
D1RP_S9	0.717894502559537	0.9008004313192283	0.626932429995705	0.44742449176800214	1.8097074247817582
D1SG_S1	0.38532544378698225	1.5781808409753206	1.2469748404515597	0.72872330397281	3.6862731471035404
D2RP_S10	0.7964879471290236	0.688739492338219	0.5118511434168801	0.3464211392025166	1.5300372456658415
D2SG_S2	0.7551930286756511	0.8328508614898317	0.736615916585269	0.4025237296874422	1.6737066385529755
L1RP_S13	0.447741935483871	1.5862331612167053	0.9456223812314472	0.7304841833440929	3.7103573823895757
L1SG_S5	1.0	-0.0	0.13771471716014178	0.0	1.0
L2RP_S14	0.6804928844151337	0.6585482556188945	0.24234551620973022	0.43896889210569623	1.7824323570100438
L2SG_S6	0.9619271445358402	0.16177045802485368	0.20077347540307938	0.0732638445767777	1.0790557745568041
S1RP_S11	1.0	-0.0	0.18032477913781747	0.0	1.0
S1SG_S3	0.8394736842105263	0.440541601396912	0.27680329266631964	0.27022635745035417	1.3702879107914219
S2RP_S12	0.7979416282642089	0.7683044044736699	1.09127082982637	0.3463943530742931	1.5299745415352364
S2SG_S4	0.2683937823834197	1.6990643958904148	0.8532814158493899	0.8032055554361146	5.081444256295406
