species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40966,36565,36123,29760,34329,33301,36650
Bacillus velezensis,265,NA,NA,NA,NA,NA,NA
Bacillus subtilis,5999,6969,8669,5253,5022,5740,6259
Bacillus inaquosorum,152,164,142,93,121,99,129
Bacillus vallismortis,136,148,157,71,108,105,116
Bacillus halotolerans,76,78,54,63,NA,65,75
Bacillus stercoris,150,110,139,124,114,135,141
Bacillus atrophaeus,32,29,28,23,21,33,27
Bacillus tequilensis,45,36,57,47,42,33,59
Bacillus rugosus,61,63,58,35,35,51,49
Bacillus cabrialesii,41,32,33,NA,28,35,34
Staphylococcus aureus,27943,21017,27317,26691,39326,41715,42096
Listeria monocytogenes,24316,20902,25416,27856,37683,38640,40781
Listeria innocua,157,110,170,152,210,216,204
Listeria welshimeri,52,32,51,28,66,52,49
Listeria swaminathanii,47,35,70,67,84,65,59
Listeria seeligeri,26,NA,27,23,37,42,24
Listeria ivanovii,21,NA,23,28,49,44,43
Enterococcus faecalis,35313,30556,39057,33414,37247,38121,40447
Limosilactobacillus fermentum,17734,14694,17182,21324,29168,27457,32697
Salmonella enterica,52377,50288,47292,34854,44070,42389,44266
Salmonella bongori,46,175,39,23,116,157,NA
Salmonella sp. WGH-01,43,30,46,NA,NA,NA,NA
Escherichia coli,35533,42588,31140,23360,25659,22085,28281
Escherichia albertii,74,51,56,37,47,30,29
Escherichia fergusonii,47,29,36,31,26,NA,33
Escherichia sp. E4742,35,NA,26,NA,NA,NA,NA
Escherichia marmotae,37,NA,23,23,NA,NA,NA
Shigella flexneri,987,418,NA,NA,NA,NA,NA
Shigella dysenteriae,148,122,160,NA,NA,NA,NA
Klebsiella pneumoniae,141,113,106,177,95,72,173
Pseudomonas aeruginosa,25111,22744,17820,16913,29021,25196,36221
Cryptococcus neoformans,8057,6182,9015,6677,5250,4786,5558
Saccharomyces cerevisiae,7374,8536,8297,7137,6663,7543,6369
Saccharomyces paradoxus,76,62,78,42,61,58,56
Lactuca sativa,33,NA,NA,NA,NA,NA,NA
