species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,29048,21756,23798,17072,21966,19702,21793
Bacillus subtilis,1585,1381,1319,1042,1640,1496,1177
Bacillus inaquosorum,91,70,78,47,66,52,58
Bacillus vallismortis,63,49,58,NA,54,47,NA
Bacillus rugosus,36,NA,NA,NA,NA,33,NA
Staphylococcus aureus,16822,11521,15993,13407,23120,22191,22176
Listeria monocytogenes,15911,11425,14924,14377,23400,21697,22118
Listeria innocua,106,34,160,239,111,322,348
Enterococcus faecalis,23280,16840,22053,17127,22338,21506,22131
Limosilactobacillus fermentum,11470,7360,9347,10969,16330,13987,16333
Actinomyces oris,24,NA,NA,NA,NA,NA,NA
Salmonella enterica,38270,26768,28755,20928,26375,24233,26166
Salmonella bongori,24,NA,NA,NA,NA,NA,NA
Escherichia coli,24298,24171,19776,13726,18218,14056,17789
Escherichia albertii,30,NA,NA,NA,NA,NA,NA
Shigella flexneri,2306,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,14799,11895,9401,9329,16148,13110,16631
Pseudomonas sp. CIP-10,373,NA,202,NA,NA,NA,NA
