species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,7735,4248,5484,3160,5034,4181,4453
Bacillus subtilis,425,316,133,43,92,147,68
Bacillus inaquosorum,19,5,10,4,6,8,5
Bacillus vallismortis,11,5,9,3,2,8,4
Bacillus stercoris,33,7,7,4,15,21,30
Bacillus tequilensis,1,4,4,1,1,NA,NA
Bacillus atrophaeus,1,NA,3,2,NA,NA,2
Bacillus sp. FSL R5-0560,5,NA,NA,NA,NA,NA,NA
Bacillus sp. THAF10,1,NA,2,NA,1,1,1
Bacillus rugosus,4,3,1,NA,1,5,NA
Bacillus cabrialesii,1,NA,1,NA,NA,NA,4
Staphylococcus aureus,4605,2431,3713,2904,5334,4766,4704
Staphylococcus agnetis,4,2,2,2,3,4,1
Staphylococcus argenteus,3,1,1,8,8,2,1
Staphylococcus schweitzeri,1,NA,NA,1,1,1,7
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus simiae,1,NA,NA,NA,1,NA,NA
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,NA,1,NA,NA,1,NA
Listeria monocytogenes,4068,2205,3422,2914,5397,4603,4721
Listeria innocua,77,51,23,60,6,15,15
Listeria swaminathanii,24,12,2,11,2,2,2
Listeria welshimeri,13,6,3,NA,4,4,6
Paenibacillus sp. FSL W8-0194,1,1,1,NA,1,NA,1
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,6270,3489,5045,3692,5148,4654,4552
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,1,1
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
Enterococcus raffinosus,1,NA,NA,NA,1,NA,1
Vagococcus lutrae,1,1,NA,NA,NA,1,NA
Limosilactobacillus fermentum,3092,1451,2052,2438,3415,2844,3233
Limosilactobacillus vaginalis,1,NA,NA,NA,NA,NA,NA
Lactiplantibacillus plantarum,3,NA,2,1,NA,2,2
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Nicoliella spurrieriana,1,NA,NA,NA,NA,NA,NA
Carnobacterium viridans,1,NA,1,NA,NA,2,NA
Clostridioides difficile,5,NA,NA,NA,NA,NA,NA
Paludicola sp. MB14-C6,1,NA,NA,NA,NA,NA,NA
Actinomyces oris,3,3,4,2,2,1,2
Corynebacterium guangdongense,1,NA,NA,NA,NA,NA,NA
Arthrobacter agilis,1,NA,NA,NA,NA,NA,NA
Bifidobacterium sp. ESL0790,1,NA,NA,NA,NA,NA,1
Salmonella enterica,11177,6186,7813,4739,6363,5291,5996
Salmonella bongori,5,2,3,1,NA,NA,NA
Escherichia coli,6064,3368,2575,2708,3094,2364,2647
Escherichia albertii,8,2,3,4,4,NA,1
Escherichia sp. E4742,4,5,4,NA,3,NA,5
Escherichia marmotae,4,NA,1,1,1,3,1
Escherichia fergusonii,3,NA,1,1,1,NA,2
Shigella flexneri,337,NA,318,110,100,NA,62
Shigella dysenteriae,34,13,7,14,13,NA,NA
Shigella boydii,24,NA,NA,63,29,36,35
Citrobacter portucalensis,3,NA,NA,NA,NA,NA,NA
Citrobacter freundii,6,NA,NA,NA,NA,NA,NA
Citrobacter sp. R56,2,NA,NA,1,NA,NA,NA
Klebsiella michiganensis,2,2,NA,NA,NA,NA,2
Klebsiella pneumoniae,6,6,3,NA,NA,8,NA
Klebsiella aerogenes,1,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,3,NA,1,2,NA,NA,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Kluyvera ascorbata,2,NA,NA,NA,NA,NA,NA
Kluyvera sichuanensis,1,NA,NA,NA,NA,NA,NA
Yokenella regensburgei,2,NA,NA,NA,NA,NA,1
Trabulsiella odontotermitis,1,NA,NA,NA,NA,NA,NA
Scandinavium goeteborgense,1,NA,NA,NA,NA,NA,NA
Siccibacter colletis,1,NA,NA,NA,NA,NA,NA
Erwinia pyrifoliae,1,NA,NA,NA,1,NA,NA
Erwinia rhapontici,1,NA,NA,NA,NA,NA,NA
Dickeya dadantii,1,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,4204,2531,1957,2185,3319,2420,3215
Pseudomonas citronellolis,2,NA,NA,NA,NA,NA,NA
Pseudomonas sp. NY8938,14,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Marseille-Q3773,1,NA,NA,NA,NA,NA,NA
Pseudomonas fluorescens,2,NA,NA,NA,2,2,NA
Pseudomonas cremoricolorata,1,NA,NA,NA,NA,NA,NA
Pseudomonas grandcourensis,1,NA,NA,NA,NA,NA,NA
Pseudomonas denitrificans (nom. rej.),1,NA,NA,NA,NA,NA,NA
Paraphotobacterium marinum,1,NA,NA,NA,NA,NA,NA
Neptuniibacter halophilus,1,2,NA,1,1,3,2
Lichenicola cladoniae,1,NA,NA,NA,NA,NA,NA
Sphaerochaeta associata,1,NA,NA,NA,NA,NA,NA
Cryptococcus neoformans,1279,554,895,717,550,484,524
Cryptococcus tetragattii,3,NA,5,NA,NA,NA,1
Kwoniella newhampshirensis,1,NA,NA,NA,NA,NA,NA
Saccharomyces cerevisiae,863,614,666,444,589,492,533
Saccharomyces paradoxus,6,NA,4,4,3,2,NA
Saccharomyces mikatae,1,1,NA,NA,NA,NA,2
Rhizophagus irregularis,3,NA,1,NA,NA,1,NA
Salvia miltiorrhiza,2,NA,NA,NA,NA,NA,NA
Solanum dulcamara,1,NA,1,NA,NA,NA,NA
Actinidia eriantha,1,NA,NA,NA,NA,NA,NA
Juglans regia,2,9,2,3,6,1,3
Gossypium raimondii,1,NA,NA,NA,NA,NA,NA
Lolium perenne,1,NA,NA,NA,NA,NA,NA
Hordeum vulgare,1,NA,NA,NA,NA,NA,NA
Panicum virgatum,1,NA,NA,NA,NA,NA,NA
Magnolia sinica,1,NA,NA,NA,NA,NA,NA
Papaver somniferum,1,NA,NA,NA,NA,NA,NA
