Sample	BP	Sh	F	Si	ISi
A01_S1	0.7176728422527477	1.6829532812348802	14.382640028548654	0.48091942105739316	1.9264831715281086
A02_S2	0.39672968382700974	2.9650542748382476	20.976322327446194	0.8249689821526422	5.7132730661035565
A03_S3	0.7689248625933744	1.3854156564057674	15.6907964986692	0.40323489136851876	1.675701185501995
A04_S4	0.796524330599969	1.3448350635196584	18.386655195944183	0.363159220978472	1.570251203976678
A05_S5	0.7710526033644138	1.4628367173996568	15.395869479246384	0.4033515029737641	1.6760286919084082
A06_S6	0.8239748122895741	1.1070966378425995	8.311229757281902	0.31926074797997683	1.468991243023821
A07_S7	0.6546197206110612	1.9871618203465782	14.148339259845887	0.565165523765803	2.2997256534493626
A08_S8	0.7023768000398625	1.6626331864217025	13.703606379349013	0.5003411334708556	2.00136546549539
A09_S9	0.7645304135690418	1.440208658906912	11.544724785763826	0.41240561245890706	1.7018542402773815
A10_S10	0.6225163579738572	1.8597988590105043	14.00414995253736	0.587709545569907	2.4254745392596946
A11_S11	0.5129540168187511	2.3123021926329854	9.700766706610578	0.7088038488323196	3.4341113232096503
A12_S12	0.7340826624720228	1.5630573944477437	17.485125487615008	0.4550026210245448	1.834871209619224
B01_S13	0.5919938670755283	1.8244550743291097	15.206706158601866	0.6110119034165924	2.5707727531594995
B02_S14	0.49351875571820675	1.2649744454386533	6.16901674842362	0.5996706317989654	2.4979431424022507
B03_S15	0.5483264942898106	1.5782689777612222	8.558080087684521	0.6219167729713098	2.6449202940285854
B04_S16	0.5122795585060889	1.4660774346978174	7.026308888596536	0.6220759907050962	2.646034587391547
B05_S17	0.6354519276289328	1.2848069860734623	11.075943616110525	0.533986028244368	2.1458584089928943
B06_S18	0.5083293229898554	1.7615451949882246	10.147517704688006	0.6620015307383724	2.9585932805688246
B07_S19	0.515764215181286	1.6357816932120697	13.614607098468563	0.6377498430408048	2.7605233035486103
B08_S20	0.4534022416096438	1.3077226997461908	7.093957694334436	0.608607591784381	2.554980574505925
B09_S21	0.4839178982641441	1.494405544728211	26.980665944449175	0.6191896909768841	2.6259793296176186
B10_S22	0.46180451283538193	1.5137573982283246	8.249650652225327	0.6367326843863745	2.752793761009893
B11_S23	0.6727607664524738	1.1607420109073614	7.24195369683628	0.4970195642116916	1.9881488997334966
B12_S24	0.6920950264524565	1.1502096085921871	6.129632976374834	0.47953469854751996	1.921357672085471
Blank_S38	0.6231929604022627	1.2046558633164792	0.7768214990362342	0.5681933372469867	2.31585125070658
C01_S25	0.3965045430251203	3.297468069593487	20.94043161527546	0.8334012339666292	6.002445419071676
C02_S26	0.6120072447722382	2.2579633430496817	18.19595363610079	0.6185460003784237	2.6215480791708985
C03_S27	0.22805031224016842	3.933514580171488	20.152383347875343	0.9335688504071181	15.053179210783231
C04_S28	0.3034971175504906	3.018883866708616	12.600678689841114	0.8631154088197828	7.305424163362818
C05_S29	0.8000507801885994	1.258056645175193	11.543683491443423	0.35818862019768505	1.5580901670955276
C06_S30	0.6076659838982159	2.057412870086575	12.814599700691655	0.6174993147047012	2.6143744009974217
C07_S31	0.47994415507705523	2.447370510215988	11.313587864154002	0.7468025765920384	3.9494872678414303
C08_S32	0.8357209491663415	0.9840689971633377	8.40922253945618	0.2993801568379969	1.4273075616683208
C09_S33	0.43009328332194596	2.839613990036725	11.95467211017411	0.8016970323407397	5.04278887907658
C10_S34	0.4202665259269033	2.820844505572259	12.515957350548899	0.8047067128514453	5.120503702922084
C11_S35	0.10733830197529577	4.7451081613636	26.83714929001554	0.9803191157228597	50.81072506287309
C12_S36	0.42492445182819416	2.960793094855628	17.345565312148985	0.8047242763249084	5.120964250855085
ENC_S37	0.5251924422673198	0.8743965398354024	0.33099236666231563	0.5495708305359285	2.22010488616849
