species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,31607,24811,27389,20026,25861,22503,26801
Bacillus subtilis,1678,2357,1186,1274,633,2080,NA
Bacillus inaquosorum,83,61,64,46,73,46,63
Bacillus vallismortis,59,44,43,NA,45,32,56
Bacillus rugosus,39,NA,46,NA,NA,NA,NA
Staphylococcus aureus,18128,13297,17972,16013,25547,25167,25765
Listeria monocytogenes,17276,12885,16790,17247,26022,24681,25619
Listeria innocua,57,56,94,60,46,99,103
Enterococcus faecalis,25374,19456,25004,20302,24987,24810,25714
Limosilactobacillus fermentum,12513,8842,10805,13017,18691,16670,19638
Actinomyces oris,26,NA,20,NA,NA,NA,NA
Salmonella enterica,44922,33876,34387,25656,32780,30738,34253
Escherichia coli,26077,26083,21697,15164,17849,14692,17734
Pseudomonas aeruginosa,15903,14868,10921,10404,18287,15503,19737
Pseudomonas sp. CIP-10,421,NA,285,326,NA,NA,NA
Neptuniibacter halophilus,39,75,21,50,43,49,67
Homo sapiens,37,27,35,27,50,47,59
