Sample	BP	Sh	F	Si	ISi
BR1_S10	0.35518328274573896	1.6083232756850532	1.0592935511314028	0.7483313995136534	3.9734794013536523
BR2_S11	0.6879992637585128	0.6381953715817339	0.42524493322264806	0.4309526774648639	1.7573230914169786
BR3_S12	0.5049185976397622	1.2307445662662189	1.2057226745227312	0.6084631553018087	2.5540380516955716
BS1_S1	0.599009900990099	0.9402211150860933	0.4996118167600393	0.5591350179794099	2.2682681564245812
BS2_S2	0.7087378640776699	0.6032779139218958	0.35196645362568735	0.4169046259280411	1.7149853085210578
BS3_S3	0.5645161290322581	0.6847992635249889	0.3950909189032633	0.49973558963511366	1.9989429175475686
DR1_S13	0.9163975269908646	0.30862944390677877	0.33337037286438287	0.15404477371565317	1.1820956581736097
DR2_S14	0.5659226922446303	1.428506802480797	1.737362286186624	0.6362783066235422	2.7493548452304823
DR3_S15	0.5091669099906256	1.0105247953813612	1.8113928155865395	0.5566681311095312	2.2556465487191577
DS1_S4	0.7341269841269841	0.8458618121824947	0.7184230154026502	0.4289218262728196	1.7510737513805374
DS2_S5	0.6933895921237694	0.9640147989395442	0.8020329929576959	0.4792191865834068	1.9201936289462729
DS3_S6	0.8185053380782918	0.5634772788812474	0.4689490647273404	0.30859176410777833	1.4463235294117647
LR1_S16	0.9703988440117283	0.1524847574322434	0.6505392293317999	0.05774235481658929	1.0612808557317142
LR2_S17	0.952404949885212	0.24042615771364717	0.4958162972891625	0.0917990388654204	1.1010778922219366
LR3_S18	0.9870079965177826	0.07883482893646193	0.57835776845126	0.025721503645013022	1.0264005658969622
LS1_S7	0.9882840781939051	0.08890521671743794	1.474710707826535	0.023271086818369535	1.0238255328620973
LS2_S8	0.9882568188306127	0.08920911973528269	1.2712943611234109	0.023327026852284716	1.0238841736114639
LS3_S9	0.9876048903726428	0.09511309260656436	1.6528756748595639	0.024612647240562557	1.0252337157857663
NR1_S22	0.7849462365591398	0.7384685833162113	0.6615049720109429	0.366958046466053	1.579674134419552
NR2_S23	0.7847938144329897	0.5485968369814344	0.32763995568691595	0.34045432421567423	1.516195218490075
NR3_S24	0.75	0.5623351446188083	0.3863932810383815	0.3805970149253731	1.614457831325301
