species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41857,37423,36171,31575,36725,34388,38686
Bacillus subtilis,4694,5410,7441,2849,2405,3995,3568
Bacillus inaquosorum,151,192,161,117,142,117,140
Bacillus vallismortis,139,180,165,NA,130,127,122
Bacillus rugosus,61,66,63,NA,NA,59,52
Staphylococcus aureus,24981,20515,26123,25456,37264,38319,39818
Listeria monocytogenes,24017,20476,25383,27937,37881,38546,40292
Listeria innocua,335,157,274,375,323,444,405
Listeria welshimeri,60,NA,55,NA,65,55,56
Listeria swaminathanii,56,NA,77,76,87,81,70
Enterococcus faecalis,34996,30311,36827,32551,36580,37702,39693
Limosilactobacillus fermentum,17244,14269,16608,20374,28151,26538,31435
Salmonella enterica,55047,53055,45312,36635,43274,43217,49343
Salmonella bongori,70,216,50,NA,NA,NA,NA
Escherichia coli,40387,42420,41242,27773,32765,28395,33957
Escherichia albertii,95,64,64,47,52,NA,NA
Escherichia marmotae,58,NA,NA,NA,NA,NA,NA
Shigella flexneri,2325,1845,NA,NA,NA,NA,NA
Shigella dysenteriae,217,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22308,22829,17452,16114,27915,25725,31964
Pseudomonas sp. CIP-10,666,431,499,593,442,NA,408
Homo sapiens,100,86,116,78,117,116,126
