species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40373,35026,35201,29364,35186,33982,36680
Bacillus velezensis,266,259,162,NA,420,NA,435
Bacillus subtilis,4427,5584,6750,3283,1777,3034,3351
Bacillus inaquosorum,147,178,151,116,121,108,137
Bacillus vallismortis,150,175,156,60,113,98,122
Bacillus halotolerans,69,62,48,55,50,60,84
Bacillus tequilensis,36,27,41,35,29,26,41
Bacillus atrophaeus,28,26,26,20,27,30,28
Bacillus cereus,190,244,NA,NA,440,NA,NA
Bacillus rugosus,57,58,61,38,38,54,51
Bacillus cabrialesii,39,30,30,15,31,33,34
Staphylococcus aureus,24369,19818,25349,24446,36349,37113,38332
Staphylococcus argenteus,40,23,43,41,51,63,34
Staphylococcus schweitzeri,20,15,29,19,32,41,40
Staphylococcus epidermidis,11,NA,11,NA,19,15,NA
Staphylococcus simiae,11,NA,16,NA,16,18,13
Listeria monocytogenes,23596,19646,24633,26669,36593,36996,39114
Listeria innocua,271,168,219,304,351,476,335
Listeria welshimeri,54,35,52,29,64,58,53
Listeria swaminathanii,51,37,72,74,90,81,66
Listeria seeligeri,32,23,28,21,44,37,26
Listeria ivanovii,25,22,78,28,147,94,137
Paenibacillus sp. FSL W8-0194,12,12,NA,NA,NA,NA,NA
Enterococcus faecalis,34207,29226,35591,31118,35685,36406,38138
Limosilactobacillus fermentum,16786,13647,15970,19469,27301,25478,30075
Actinomyces oris,16,16,21,NA,14,NA,10
Salmonella enterica,50908,52136,46031,34063,41725,39938,46430
Salmonella bongori,69,197,50,23,139,365,22
Escherichia coli,42357,38032,35122,25882,30795,25998,31964
Escherichia albertii,90,59,63,47,51,41,39
Escherichia marmotae,56,30,33,28,20,17,29
Escherichia sp. E4742,44,32,37,12,16,NA,22
Escherichia fergusonii,79,40,52,32,36,36,35
Shigella flexneri,1737,1788,1455,1129,550,2144,857
Shigella dysenteriae,180,226,202,195,113,120,159
Shigella boydii,276,253,217,142,306,171,272
Klebsiella pneumoniae,98,67,59,91,39,50,66
Pseudomonas aeruginosa,22209,22066,17003,16014,27325,24496,30881
Cryptococcus neoformans,7684,5781,8452,6270,5011,4524,5243
Cryptococcus tetragattii,38,36,49,24,19,NA,NA
Saccharomyces cerevisiae,5637,6274,5633,4601,5142,5056,5502
Saccharomyces paradoxus,28,41,47,27,38,32,44
Homo sapiens,40,33,52,32,54,64,59
Juglans regia,36,44,29,25,42,36,32
