Sample	BP	Sh	F	Si	ISi
ZC1_S4	0.20229551846104157	2.1824828610069935	6.528878189278581	0.8686309736726173	7.6121444145282435
ZC2_S5	0.21286629388448472	2.1878828978272993	5.976871302257271	0.8662838921704644	7.4785305692177575
ZC3_S6	0.17576046689530098	2.1862350093820484	5.542495659147801	0.872332350049429	7.832837844098871
ZC4_S7	0.16012011891572123	2.1887957223803935	4.279201468046828	0.8760690019331624	8.069006266379676
ZP1_S20	0.14988240729870062	2.2080900877150462	6.815105565168274	0.8786527253305856	8.240811363290138
ZP2_S21	0.15096721097425386	2.216177885362941	6.115136671410849	0.8788415439104665	8.25365420025674
ZP3_S22	0.15587118107767192	2.206685444811778	6.35802836860332	0.8788159042662352	8.251907925252409
