Sample	BP	Sh	F	Si	ISi
ZC1_S4	0.5793638598647818	0.7315937380235513	0.6010147118474883	0.4943910990132184	1.9778132822589363
ZC2_S5	0.508255438106054	0.7219476901902817	0.38871038719910594	0.5043444110708368	2.0175299589790674
ZC3_S6	0.6046983758700696	0.7076975913867766	0.38107462699627287	0.4830383744164837	1.9343795564540365
ZC4_S7	0.5836730731896719	0.7031630338472084	0.39317306522550743	0.48917539355253503	1.9576190876052553
ZP1_S20	0.5021784232365145	0.7175063952354663	0.39604140866402726	0.5037392396639	2.015069656772248
ZP2_S21	0.5169146005509642	0.7162070317685572	0.3986884071402115	0.5029757045073533	2.0119740806811217
ZP3_S22	0.4992545472617036	0.706667712544892	0.2866433712064746	0.5021304634176849	2.0085583200462906
