species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41987,37527,36337,31666,36804,34522,38873
Bacillus subtilis,4752,5593,7545,3019,2529,4120,3625
Bacillus inaquosorum,158,195,168,127,141,122,147
Bacillus vallismortis,145,189,170,NA,130,129,132
Bacillus rugosus,62,66,66,NA,NA,62,58
Staphylococcus aureus,25063,20611,26237,25591,37413,38481,39960
Listeria monocytogenes,24151,20615,25570,28148,38068,38792,40563
Listeria innocua,340,161,279,402,324,464,416
Listeria welshimeri,61,NA,57,NA,65,58,58
Listeria swaminathanii,57,NA,79,76,90,88,70
Enterococcus faecalis,35227,30577,37139,32863,36808,38012,39984
Limosilactobacillus fermentum,17309,14342,16699,20479,28262,26697,31570
Salmonella enterica,55076,53359,45071,36826,43447,43592,49478
Salmonella bongori,70,217,50,NA,NA,NA,NA
Escherichia coli,40678,42542,41961,27904,32858,28365,34159
Escherichia albertii,95,66,64,47,53,NA,NA
Escherichia marmotae,58,NA,NA,NA,NA,NA,NA
Shigella flexneri,2300,1887,NA,NA,NA,NA,NA
Shigella dysenteriae,215,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22334,22933,17500,16128,27995,25547,32068
Pseudomonas sp. CIP-10,710,448,534,655,471,340,425
Homo sapiens,135,107,147,93,141,131,151
