species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,34115,27503,23912,21811,26763,24755,27801
Bacillus subtilis,2154,2163,7559,1474,2412,2315,1517
Bacillus halotolerans,76,63,35,NA,51,NA,NA
Bacillus inaquosorum,108,100,78,60,82,63,79
Bacillus vallismortis,73,66,71,35,61,57,52
Bacillus atrophaeus,13,NA,12,NA,13,NA,NA
Bacillus tequilensis,15,14,18,NA,NA,NA,16
Bacillus rugosus,43,28,26,16,23,40,32
Bacillus cabrialesii,28,NA,22,NA,21,NA,15
Staphylococcus aureus,19832,14542,19711,17427,28306,27840,28228
Staphylococcus argenteus,19,NA,20,16,23,22,21
Staphylococcus schweitzeri,15,NA,NA,NA,17,15,17
Listeria monocytogenes,18854,14508,18413,18614,28563,27144,28089
Listeria innocua,120,39,196,277,126,384,372
Listeria swaminathanii,19,NA,32,24,29,19,22
Listeria welshimeri,16,NA,16,NA,17,15,21
Listeria seeligeri,17,NA,NA,NA,19,14,NA
Enterococcus faecalis,27663,21330,27255,22194,27589,27329,28134
Limosilactobacillus fermentum,13502,9647,11716,13973,20469,18097,21282
Actinomyces oris,27,16,20,NA,22,13,14
Salmonella enterica,46764,34225,35833,27015,33043,30122,35208
Salmonella bongori,27,705,17,NA,NA,811,NA
Escherichia coli,27429,29298,24493,16188,22713,17033,21903
Escherichia sp. E4742,25,NA,17,NA,NA,NA,NA
Escherichia albertii,31,49,20,18,13,NA,17
Escherichia fergusonii,24,21,22,NA,NA,19,NA
Escherichia marmotae,16,NA,NA,NA,NA,NA,NA
Shigella flexneri,2430,2136,871,1132,NA,1636,NA
Shigella dysenteriae,172,84,113,136,NA,NA,NA
Shigella boydii,191,NA,NA,NA,NA,NA,NA
Klebsiella pneumoniae,60,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,17380,15254,11961,11343,20066,17010,21497
Pseudomonas sp. CIP-10,442,137,315,327,174,135,214
Burkholderia multivorans,20,13,16,13,17,11,11
Homo sapiens,30,29,33,20,47,38,43
