species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,27561,21953,23662,17177,22119,20099,21729
Bacillus subtilis,1275,NA,NA,NA,NA,NA,NA
Bacillus inaquosorum,69,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,15817,11007,15103,12934,21747,20870,21107
Listeria monocytogenes,15047,10535,14166,13906,21959,20423,21133
Enterococcus faecalis,22010,15855,20954,16306,21141,20388,20933
Limosilactobacillus fermentum,10848,7031,8839,10511,15414,13369,15565
Salmonella enterica,38701,27244,28445,20605,26951,24430,27439
Escherichia coli,22721,20580,17516,12282,14998,11856,14143
Pseudomonas aeruginosa,14076,11880,9124,8792,14929,12268,15798
