species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,40928,36097,35161,30170,35404,33222,37253
Bacillus subtilis,4414,5011,6953,2584,2095,3671,3286
Bacillus inaquosorum,141,178,151,111,127,114,134
Bacillus vallismortis,133,176,162,55,123,118,112
Bacillus halotolerans,69,73,51,NA,NA,72,80
Bacillus tequilensis,35,28,41,33,30,27,40
Bacillus atrophaeus,30,27,26,20,28,31,29
Bacillus rugosus,57,62,61,38,39,57,50
Bacillus cabrialesii,39,31,30,NA,32,35,34
Staphylococcus aureus,24508,19869,25413,24421,36366,37179,38447
Staphylococcus argenteus,39,23,43,42,53,62,33
Listeria monocytogenes,23459,19756,24513,26728,36850,37156,38801
Listeria innocua,327,155,251,342,302,439,390
Listeria welshimeri,56,34,54,30,64,55,56
Listeria swaminathanii,55,37,76,76,83,80,68
Listeria seeligeri,36,NA,31,NA,40,37,28
Listeria ivanovii,25,22,103,28,122,91,169
Enterococcus faecalis,34245,29254,35694,31133,35632,36482,38231
Limosilactobacillus fermentum,16802,13658,16002,19478,27302,25494,30084
Actinomyces oris,26,29,29,NA,27,NA,NA
Salmonella enterica,53558,50746,43454,34525,41732,40732,47041
Salmonella bongori,70,208,49,22,135,383,22
Escherichia coli,39122,40100,38799,25581,31524,25023,31825
Escherichia albertii,92,61,64,46,50,41,38
Escherichia marmotae,57,30,32,27,NA,NA,29
Escherichia sp. E4742,43,32,36,NA,NA,NA,NA
Escherichia fergusonii,79,41,46,32,37,37,34
Shigella flexneri,2258,1782,910,1348,NA,2644,845
Shigella dysenteriae,211,222,140,169,NA,NA,153
Shigella boydii,303,268,NA,NA,289,NA,NA
Klebsiella pneumoniae,105,68,52,NA,NA,NA,NA
Pseudomonas aeruginosa,21715,21787,16692,15441,26999,24317,30510
Pseudomonas sp. CIP-10,633,412,469,547,390,284,379
Burkholderia multivorans,32,28,22,NA,23,NA,NA
Homo sapiens,64,42,62,38,74,75,76
