species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,19210,12299,14720,10132,13660,11280,12269
Bacillus velezensis,47,NA,NA,NA,57,NA,54
Bacillus amyloliquefaciens,12,NA,NA,NA,NA,24,363
Bacillus inaquosorum,53,21,36,25,32,24,30
Bacillus halotolerans,33,9,14,4,14,12,13
Bacillus subtilis,703,680,293,377,320,836,398
Bacillus vallismortis,27,22,19,10,29,13,22
Bacillus stercoris,73,41,65,NA,48,41,47
Bacillus atrophaeus,6,1,7,3,4,1,2
Bacillus tequilensis,5,6,10,4,NA,NA,2
Bacillus cereus,35,81,28,31,27,50,34
Bacillus sp. FSL R5-0560,5,NA,5,NA,NA,5,NA
Bacillus sp. FSL R5-0523,6,NA,NA,NA,7,NA,NA
Bacillus sp. FJAT-18017,1,NA,NA,NA,2,NA,NA
Bacillus sp. FSL K6-1012,11,NA,NA,NA,NA,NA,NA
Bacillus rugosus,21,8,18,9,8,18,4
Bacillus cabrialesii,11,4,10,5,1,1,5
Bacillus glycinifermentans,2,NA,NA,NA,NA,NA,NA
Priestia koreensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus aureus,10894,6578,9815,7828,14111,13155,11494
Staphylococcus sp. MZ8,191,NA,NA,NA,NA,NA,192
Staphylococcus argenteus,13,9,8,9,14,6,6
Staphylococcus schweitzeri,5,1,1,4,8,8,10
Staphylococcus saprophyticus,2,2,3,2,9,6,3
Staphylococcus simiae,2,NA,2,NA,2,3,NA
Staphylococcus agnetis,1,1,NA,NA,NA,1,1
Staphylococcus kloosii,1,NA,NA,NA,NA,NA,NA
Staphylococcus massiliensis,1,NA,NA,NA,NA,NA,NA
Staphylococcus gallinarum,1,NA,NA,NA,NA,1,NA
Staphylococcus warneri,1,1,NA,1,NA,1,NA
Staphylococcus capitis,1,NA,NA,NA,3,1,NA
Staphylococcus croceilyticus,3,NA,NA,NA,NA,NA,NA
Staphylococcus epidermidis,1,1,2,2,5,5,1
Listeria monocytogenes,10419,6495,9158,8511,14288,12866,13206
Listeria innocua,36,32,60,22,32,56,39
Listeria welshimeri,8,2,6,2,8,6,11
Listeria swaminathanii,7,6,13,9,16,4,13
Listeria seeligeri,5,10,2,11,7,4,2
Listeria ivanovii,1,4,7,2,2,3,1
Paenibacillus sp. FSL W8-0194,2,5,3,NA,1,NA,2
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Paenisporosarcina sp. FSL H8-0542,1,NA,NA,1,NA,1,1
Sporosarcina ureilytica,1,NA,NA,NA,NA,NA,1
Enterococcus faecalis,15127,9716,13527,9914,13748,12644,12755
Enterococcus sp. 9D6_DIV0238,5,2,NA,1,NA,3,2
Enterococcus sp. DIV0849a,1,NA,1,1,NA,1,1
Enterococcus sp. 9E7_DIV0242,1,NA,NA,NA,NA,NA,NA
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
