species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41485,36473,36255,30750,36972,35203,38338
Bacillus subtilis,4922,6320,7328,3611,2206,3316,3812
Bacillus inaquosorum,158,193,158,122,136,111,145
Bacillus vallismortis,158,179,160,NA,121,104,132
Bacillus rugosus,62,63,62,NA,NA,56,54
Staphylococcus aureus,24837,20466,26064,25490,37252,38272,39696
Listeria monocytogenes,24153,20374,25484,27869,37610,38266,40610
Listeria innocua,278,168,237,336,377,498,348
Listeria welshimeri,57,NA,53,NA,65,58,53
Listeria swaminathanii,52,NA,74,74,93,83,67
Enterococcus faecalis,34954,30276,36717,32529,36640,37666,39594
Limosilactobacillus fermentum,17230,14258,16574,20364,28149,26522,31424
Salmonella enterica,52291,54689,48184,36156,43391,42305,48778
Salmonella bongori,69,207,51,NA,NA,NA,NA
Escherichia coli,43662,40739,38069,28073,32576,29387,34348
Escherichia albertii,93,63,64,48,52,NA,NA
Escherichia marmotae,57,NA,NA,NA,NA,NA,NA
Escherichia fergusonii,81,NA,NA,NA,NA,NA,NA
Shigella flexneri,1788,1912,NA,NA,NA,NA,NA
Shigella dysenteriae,185,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,22828,23123,17786,16734,28290,25665,32368
Cryptococcus neoformans,7939,6076,8803,6575,5183,4751,5496
Saccharomyces cerevisiae,5803,6565,5833,4851,5354,5265,5755
Homo sapiens,56,NA,66,47,67,74,76
