species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,31429,24798,27227,20011,25769,22414,25879
Bacillus halotolerans,71,NA,NA,NA,NA,NA,NA
Bacillus subtilis,1653,2355,1169,1272,628,2059,838
Bacillus inaquosorum,82,61,64,46,73,46,61
Bacillus vallismortis,59,44,43,24,45,32,54
Bacillus stercoris,148,NA,181,NA,99,105,122
Bacillus rugosus,39,19,45,19,26,36,27
Bacillus cabrialesii,30,NA,22,NA,NA,NA,NA
Staphylococcus aureus,18109,13286,17958,16008,25538,25157,25752
Staphylococcus argenteus,19,NA,14,14,19,16,NA
Listeria monocytogenes,17271,12884,16775,17240,26008,24681,25600
Listeria innocua,57,56,94,60,46,99,103
Listeria seeligeri,13,NA,NA,NA,14,NA,NA
Enterococcus faecalis,25365,19448,24997,20302,24986,24809,25710
Limosilactobacillus fermentum,12511,8840,10803,13017,18691,16670,19636
Actinomyces oris,26,15,20,NA,21,13,13
Salmonella enterica,43801,33196,33758,25654,32777,30734,34244
Salmonella bongori,21,NA,19,NA,NA,11,NA
Escherichia coli,24382,24395,20628,15160,17848,14691,17730
Escherichia albertii,22,20,18,16,NA,NA,NA
Escherichia fergusonii,19,NA,NA,NA,NA,NA,NA
Shigella flexneri,2749,2433,1740,NA,NA,NA,NA
Shigella dysenteriae,127,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,15887,14835,10910,10404,18129,15386,19575
Pseudomonas sp. CIP-10,421,NA,285,326,177,133,178
Neptuniibacter halophilus,39,75,21,50,43,49,67
Burkholderia multivorans,20,15,NA,NA,11,NA,NA
Homo sapiens,37,27,35,27,50,47,59
