species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,2625,1204,1655,1165,1460,1175,1200
Bacillus vallismortis,7,3,3,1,1,1,NA
Bacillus subtilis,71,33,14,15,16,15,NA
Bacillus inaquosorum,5,NA,1,NA,1,1,1
Bacillus stercoris,5,NA,NA,NA,NA,NA,5
Bacillus sp. FSL R5-0560,4,NA,NA,NA,NA,NA,NA
Bacillus cabrialesii,1,NA,NA,NA,NA,NA,1
Bacillus rugosus,1,1,NA,NA,NA,2,NA
Staphylococcus aureus,1557,662,1184,858,1622,1381,1368
Staphylococcus agnetis,2,NA,NA,NA,NA,NA,1
Staphylococcus schweitzeri,1,NA,NA,1,NA,NA,2
Staphylococcus simiae,1,NA,NA,NA,1,NA,NA
Listeria monocytogenes,1429,598,1025,852,1680,1287,1250
Listeria swaminathanii,9,11,NA,9,NA,NA,11
Listeria welshimeri,5,NA,NA,NA,1,NA,6
Listeria innocua,10,25,15,20,1,9,23
Paenibacillus polymyxa,1,NA,NA,NA,NA,NA,NA
Enterococcus faecalis,2131,935,1565,1063,1573,1343,1308
Enterococcus sp. DIV0849a,1,NA,NA,1,NA,1,1
Enterococcus sp. 12C11_DIV0727,1,NA,NA,NA,NA,NA,NA
Limosilactobacillus fermentum,1085,406,642,692,983,775,896
Lactiplantibacillus plantarum,1,NA,NA,NA,NA,NA,NA
Pediococcus pentosaceus,1,NA,NA,NA,NA,NA,NA
Clostridioides difficile,3,NA,NA,NA,NA,NA,NA
Paludicola sp. MB14-C6,1,NA,NA,NA,NA,NA,NA
Actinomyces oris,3,2,3,2,1,NA,2
Salmonella enterica,3902,1666,2419,1486,1727,1462,1659
Salmonella bongori,1,NA,NA,NA,NA,NA,NA
Escherichia coli,1771,931,487,636,832,542,615
Escherichia marmotae,2,NA,NA,NA,NA,NA,1
Escherichia albertii,1,1,NA,NA,1,NA,NA
Shigella flexneri,239,NA,169,45,47,NA,45
Shigella dysenteriae,28,8,NA,12,NA,NA,NA
Shigella boydii,20,NA,NA,53,27,NA,26
Citrobacter freundii,5,NA,NA,NA,NA,NA,NA
Enterobacter asburiae,2,NA,1,NA,NA,NA,NA
Enterobacter mori,1,NA,NA,NA,NA,NA,NA
Yokenella regensburgei,2,NA,NA,NA,NA,NA,NA
Kluyvera ascorbata,1,NA,NA,NA,NA,NA,NA
Klebsiella aerogenes,1,NA,NA,NA,NA,NA,NA
Dickeya dadantii,1,NA,NA,NA,NA,NA,NA
Erwinia rhapontici,1,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,1481,553,529,642,912,601,777
Pseudomonas sp. NY8938,12,NA,NA,NA,NA,NA,NA
Pseudomonas sp. Marseille-Q3773,1,NA,NA,NA,NA,NA,NA
Cryptococcus neoformans,407,137,233,206,161,94,138
Cryptococcus tetragattii,2,NA,1,NA,NA,NA,NA
Saccharomyces cerevisiae,267,162,196,123,156,117,117
Saccharomyces paradoxus,1,NA,1,2,1,1,NA
Rhizophagus irregularis,1,NA,NA,NA,NA,NA,NA
Juglans regia,1,3,NA,2,2,NA,NA
