species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Cryptococcus neoformans,7540,5577,8340,6012,4838,4350,5019
Cryptococcus gattii VGI,55,28,36,23,22,23,19
Cryptococcus gattii VGII,28,24,50,15,13,10,13
Cryptococcus gattii VGIII,3,1,5,3,1,1,1
Cryptococcus gattii VGIV,2,2,2,1,1,2,3
Kwoniella heveanensis,1,NA,1,2,NA,1,NA
Tremella mesenterica,1,2,2,1,1,NA,NA
Saccharomyces cerevisiae,5366,5818,5365,4250,4763,4691,5017
Nakaseomyces glabratus,2,1,3,1,6,3,7
Clavispora lusitaniae,6,4,4,3,4,4,3
[Candida] auris,1,NA,NA,NA,1,NA,1
Neurospora crassa,7,5,2,5,2,1,5
Sporothrix brasiliensis,4,1,1,NA,1,NA,2
Fusarium oxysporum,3,7,1,2,7,NA,NA
Fusarium fujikuroi,3,2,NA,1,NA,1,NA
Trichoderma reesei,1,1,NA,NA,1,NA,NA
Lomentospora prolificans,3,5,4,3,2,1,NA
Sclerotinia sclerotiorum,4,6,1,2,2,1,1
Coccidioides immitis,14,8,3,4,6,5,9
Coccidioides posadasii,1,6,4,2,6,5,3
Histoplasma capsulatum,1,NA,1,NA,NA,NA,NA
Aspergillus aculeatus,1,NA,NA,NA,NA,NA,NA
Fonsecaea pedrosoi,4,2,2,NA,1,NA,2
Exophiala mesophila,1,NA,1,NA,1,NA,NA
Schizosaccharomyces octosporus,1,NA,NA,1,NA,NA,1
Enterocytozoon bieneusi,4,1,1,NA,NA,NA,NA
Encephalitozoon cuniculi,2,3,NA,NA,2,NA,NA
Nematocida displodere,1,NA,1,NA,3,NA,2
Rhizophagus irregularis,3,1,NA,1,NA,NA,NA
Phycomyces blakesleeanus,2,1,NA,2,NA,NA,NA
Mucor circinelloides,1,NA,NA,NA,NA,NA,NA
Allomyces macrogynus,1,NA,1,1,1,NA,NA
Aphanomyces invadans,16,5,7,6,11,4,5
Aphanomyces astaci,10,5,6,6,6,8,9
Saprolegnia diclina,2,NA,1,NA,NA,1,NA
Phytophthora palmivora,5,1,NA,NA,1,4,NA
Phytophthora infestans,2,3,3,7,3,5,2
Phytophthora parasitica,1,NA,NA,NA,NA,NA,NA
Hyaloperonospora arabidopsidis,1,NA,NA,NA,1,1,NA
Albugo candida,4,NA,1,NA,NA,NA,NA
Globisporangium ultimum,2,NA,NA,NA,NA,NA,NA
Eimeria mitis,7,2,3,6,7,10,6
Toxoplasma gondii,5,NA,2,NA,1,NA,NA
Gregarina niphandrodes,5,NA,NA,NA,1,NA,2
Babesia microti,4,5,3,2,3,1,2
Plasmodium malariae,1,NA,NA,NA,1,1,NA
Acanthamoeba healyi,8,8,3,4,5,3,4
Acanthamoeba culbertsoni,2,NA,NA,NA,NA,1,NA
Acanthamoeba royreba,1,NA,NA,NA,NA,NA,NA
Acanthamoeba lenticulata,1,NA,NA,NA,NA,NA,1
Entamoeba invadens,3,2,NA,3,1,2,2
Entamoeba histolytica,2,4,NA,2,2,NA,1
Naegleria fowleri,3,1,1,NA,3,1,2
Leishmania tarentolae,1,NA,NA,1,2,NA,1
Trichomonas vaginalis,1,NA,1,2,NA,1,NA
