species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39249,33419,33672,27647,34553,32165,35337
Bacillus subtilis,4291,5244,6274,2894,1731,2730,2705
Bacillus inaquosorum,135,160,141,108,114,97,122
Bacillus vallismortis,145,160,148,NA,109,87,115
Bacillus rugosus,56,51,54,NA,NA,51,NA
Staphylococcus aureus,23593,18879,24289,23007,34934,35335,36359
Listeria monocytogenes,22687,18583,23498,24983,35032,34950,36928
Listeria innocua,264,140,206,265,337,443,316
Listeria welshimeri,53,NA,48,NA,58,57,53
Listeria swaminathanii,51,NA,69,72,86,74,63
Enterococcus faecalis,32944,27543,33808,29062,34084,34481,35969
Limosilactobacillus fermentum,16122,12774,15035,18170,25974,23812,28162
Salmonella enterica,48924,49462,43759,31827,40020,38258,43518
Salmonella bongori,68,193,48,NA,NA,NA,NA
Escherichia coli,41007,36047,34419,25536,29969,26330,31022
Escherichia albertii,89,58,63,47,50,NA,NA
Escherichia marmotae,56,NA,NA,NA,NA,NA,NA
Shigella flexneri,1704,1772,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21307,20591,15941,15053,25872,22855,28867
Cryptococcus neoformans,7335,5353,7889,5808,4711,4190,4849
Saccharomyces cerevisiae,5385,5823,5302,4236,4854,4725,5061
