species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,39963,34461,34543,28629,35072,33159,35979
Bacillus subtilis,4495,5560,6587,3077,1737,2883,3363
Bacillus inaquosorum,142,171,145,114,115,103,126
Bacillus vallismortis,146,165,151,60,113,95,115
Bacillus halotolerans,70,62,45,NA,NA,56,85
Bacillus tequilensis,36,27,39,35,30,26,41
Bacillus atrophaeus,27,26,25,NA,27,27,25
Bacillus rugosus,56,56,56,35,36,51,47
Bacillus cabrialesii,38,28,27,NA,30,28,33
Staphylococcus aureus,24027,19420,24869,23814,35750,36312,37470
Staphylococcus argenteus,40,23,42,41,50,63,33
Listeria monocytogenes,23186,19155,24123,25933,35908,36043,38175
Listeria innocua,269,163,213,275,344,469,324
Listeria welshimeri,54,33,50,29,62,57,53
Listeria swaminathanii,51,34,71,74,87,79,63
Listeria seeligeri,29,NA,28,NA,44,36,25
Listeria ivanovii,25,22,77,27,145,92,133
Enterococcus faecalis,33647,28481,34774,30170,34998,35563,37131
Limosilactobacillus fermentum,16480,13270,15555,18906,26756,24746,29210
Salmonella enterica,50024,51039,44952,32795,41065,38977,45391
Salmonella bongori,68,195,48,23,139,360,22
Escherichia coli,41634,37293,34393,25566,30593,25526,31135
Escherichia albertii,89,59,63,47,50,41,39
Escherichia marmotae,56,30,33,28,NA,NA,29
Escherichia sp. E4742,43,32,37,NA,NA,NA,NA
Escherichia fergusonii,78,40,49,32,37,36,33
Shigella flexneri,1716,1803,1436,1120,NA,2136,841
Shigella dysenteriae,174,228,194,197,NA,NA,160
Shigella boydii,273,255,NA,NA,314,NA,NA
Klebsiella pneumoniae,97,67,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,21825,21454,16572,15596,26717,23780,30014
Cryptococcus neoformans,7535,5575,8189,6035,4872,4353,5054
Cryptococcus tetragattii,34,34,43,NA,NA,NA,NA
Saccharomyces cerevisiae,5510,6052,5471,4433,4988,4894,5292
Saccharomyces paradoxus,27,35,46,25,33,29,42
Homo sapiens,36,27,46,28,45,60,48
