species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,29443,22773,25124,18428,23973,20722,23754
Bacillus subtilis,1859,2166,1322,1277,676,1901,979
Bacillus inaquosorum,86,55,60,51,69,45,53
Staphylococcus aureus,16885,12311,16649,14790,23658,23126,23675
Listeria monocytogenes,16029,11796,15530,15591,23906,22592,23350
Listeria innocua,64,58,87,93,46,95,117
Enterococcus faecalis,23746,17918,23109,18675,23128,22925,23617
Limosilactobacillus fermentum,11744,8105,9930,12054,17240,15362,18024
Salmonella enterica,40938,30797,31877,23057,29644,28255,31263
Escherichia coli,25369,24657,19847,14344,16915,13534,16365
Pseudomonas aeruginosa,15207,12863,10155,9911,16834,14112,18087
Neptuniibacter halophilus,40,79,22,45,48,52,72
Cryptococcus neoformans,5147,3264,4956,3649,3020,2614,2993
Saccharomyces cerevisiae,3637,3580,3460,2514,3040,2871,3101
Saccharomyces paradoxus,21,NA,29,NA,23,NA,23
