species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,21921,14368,16527,11498,15335,13140,14396
Bacillus inaquosorum,74,39,56,NA,39,34,34
Bacillus subtilis,900,622,684,413,1007,852,636
Bacillus vallismortis,47,NA,40,NA,NA,NA,NA
Staphylococcus aureus,12474,7614,11160,8635,16295,14841,14714
Listeria monocytogenes,11964,7281,10418,9435,16445,14616,14615
Listeria innocua,42,NA,136,NA,85,217,301
Enterococcus faecalis,17318,11167,15284,10991,15625,14291,14487
Limosilactobacillus fermentum,8609,4603,6258,7191,11044,8987,10402
Actinomyces oris,20,NA,NA,NA,NA,NA,NA
Salmonella enterica,28839,17354,19518,13898,17463,15540,16621
Escherichia coli,17936,15272,13137,9068,12551,9228,11593
Escherichia albertii,24,NA,NA,NA,NA,NA,NA
Shigella flexneri,1751,NA,NA,NA,NA,NA,NA
Pseudomonas aeruginosa,11176,7426,6305,6424,10733,8249,10490
Pseudomonas sp. CIP-10,289,NA,NA,NA,NA,NA,NA
