Run,Sample,Database,Runtime,MinHitGroups,TotalReads,KrakenClassified,KrakenUnclassified,BrackenThreshold,NumSpecies,SpeciesAboveThres,SpeciesBelowThres,KeptReads,DiscardedReads,RedistributedReads,NotRedistributedReads
run_2603_1200,ZP2_S21,k2_standard_16gb_20241228,00:05:37,2,319707,198224,121483,10,244,27,217,55769,384,142007,64,
run_2603_1200,ZP3_S22,k2_standard_16gb_20241228,00:05:37,2,358997,217911,141086,10,240,27,213,61002,360,156480,69,
run_2603_1216,ZC1_S4,k2_pluspfp_08gb_20241228,00:01:21,2,304354,111496,192858,10,140,15,125,28584,222,82646,44,
run_2603_1216,ZC2_S5,k2_pluspfp_08gb_20241228,00:01:21,2,294096,76164,217932,10,103,13,90,18023,166,57949,26,
run_2603_1216,ZC3_S6,k2_pluspfp_08gb_20241228,00:01:21,2,297184,86765,210419,10,129,14,115,22546,219,63972,28,
run_2603_1216,ZC4_S7,k2_pluspfp_08gb_20241228,00:01:21,2,264206,69198,195008,10,94,10,84,18462,160,50559,17,
run_2603_1216,ZP1_S20,k2_pluspfp_08gb_20241228,00:01:21,2,320064,98229,221835,10,115,14,101,25013,185,72997,34,
run_2603_1216,ZP2_S21,k2_pluspfp_08gb_20241228,00:01:21,2,319707,85963,233744,10,104,14,90,21575,161,64197,30,
run_2603_1216,ZP3_S22,k2_pluspfp_08gb_20241228,00:01:21,2,358997,94226,264771,10,123,12,111,23688,208,70301,29,
run_2603_1257,ZC1_S4,core_nt_database,00:27:02,2,304354,285234,19120,10,1044,47,997,99549,1454,183891,340,
run_2603_1257,ZC2_S5,core_nt_database,00:27:02,2,294096,264185,29911,10,880,45,835,80628,1182,182153,222,
run_2603_1257,ZC3_S6,core_nt_database,00:27:02,2,297184,269941,27243,10,905,43,862,91325,1289,177141,186,
run_2603_1257,ZC4_S7,core_nt_database,00:27:02,2,264206,235419,28787,10,757,37,720,77312,1035,156868,204,
run_2603_1257,ZP1_S20,core_nt_database,00:27:02,2,320064,297101,22963,10,890,45,845,97189,1233,198460,219,
run_2603_1257,ZP2_S21,core_nt_database,00:27:02,2,319707,290338,29369,10,918,44,874,92425,1285,196397,231,
run_2603_1257,ZP3_S22,core_nt_database,00:27:02,2,358997,323518,35479,10,861,48,813,101868,1158,220269,223,
