species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41765,37215,36280,31443,35830,34458,38539
Bacillus velezensis,252,297,174,245,473,NA,473
Bacillus subtilis,4542,5256,7410,2918,2141,4077,3447
Bacillus inaquosorum,158,194,168,126,139,121,147
Bacillus vallismortis,145,188,170,64,129,129,131
Bacillus halotolerans,74,81,64,67,58,81,84
Bacillus tequilensis,37,31,46,35,32,28,41
Bacillus atrophaeus,33,30,30,25,30,35,31
Bacillus cereus,180,316,NA,NA,497,NA,NA
Bacillus rugosus,62,65,66,50,41,62,57
Bacillus cabrialesii,41,33,36,18,34,38,39
Staphylococcus aureus,25056,20601,26228,25576,37397,38449,39941
Staphylococcus argenteus,41,25,44,42,54,62,34
Staphylococcus schweitzeri,20,15,28,22,32,40,42
Staphylococcus simiae,12,10,16,10,16,20,14
Staphylococcus epidermidis,12,NA,10,NA,20,15,NA
Listeria monocytogenes,24142,20601,25492,28136,38061,38781,40557
Listeria innocua,340,161,279,402,324,464,416
Listeria welshimeri,61,35,57,31,65,58,58
Listeria swaminathanii,57,40,79,76,90,88,70
Listeria seeligeri,37,23,36,22,42,45,32
Listeria ivanovii,25,22,105,32,126,90,175
Paenibacillus sp. FSL W8-0194,12,14,NA,NA,NA,NA,12
Enterococcus faecalis,35225,30573,37135,32858,36802,37999,39978
Candidatus Enterococcus dunnyi,10,10,NA,NA,NA,NA,11
Limosilactobacillus fermentum,17309,14342,16698,20478,28261,26694,31568
Actinomyces oris,27,29,31,17,30,19,23
Salmonella enterica,54983,53101,44883,36388,43173,42546,49159
Salmonella bongori,70,214,50,23,136,387,23
Escherichia coli,40405,41613,40986,26577,31926,25914,33210
Escherichia albertii,94,65,64,47,53,41,41
Escherichia marmotae,58,30,33,29,20,17,30
Escherichia sp. E4742,43,32,36,13,16,NA,21
Escherichia fergusonii,81,44,47,34,38,37,36
Shigella flexneri,2283,1840,873,1464,751,2817,857
Shigella dysenteriae,213,230,136,172,106,128,155
Shigella boydii,306,269,145,142,286,182,278
Klebsiella pneumoniae,108,80,68,94,41,53,71
Pseudomonas aeruginosa,22333,22928,17496,16121,27990,25531,32062
Pseudomonas sp. CIP-10,710,448,534,655,471,340,425
Burkholderia multivorans,33,29,22,20,24,16,17
Homo sapiens,135,107,147,93,141,131,151
