species,ZC1_S4,ZC2_S5,ZC3_S6,ZC4_S7,ZP1_S20,ZP2_S21,ZP3_S22
Bacillus spizizenii,41074,36640,36262,29789,34438,33362,36775
Bacillus velezensis,276,NA,NA,NA,NA,NA,NA
Bacillus subtilis,6054,7173,8780,5466,5102,5939,6363
Bacillus inaquosorum,158,168,147,102,123,102,133
Bacillus vallismortis,142,157,164,75,108,107,126
Bacillus halotolerans,79,82,60,68,NA,67,78
Bacillus stercoris,154,109,148,126,121,141,145
Bacillus atrophaeus,32,30,31,25,24,34,27
Bacillus tequilensis,45,39,58,47,42,34,59
Bacillus rugosus,62,63,62,40,36,53,54
Bacillus cabrialesii,43,34,34,NA,29,37,34
Staphylococcus aureus,28009,21113,27437,26801,39456,41879,42234
Listeria monocytogenes,24434,21025,25591,28087,37861,38882,41027
Listeria innocua,162,114,175,155,211,218,211
Listeria welshimeri,53,32,52,29,66,53,51
Listeria swaminathanii,48,35,73,66,86,72,59
Listeria seeligeri,26,NA,27,23,37,46,28
Listeria ivanovii,21,NA,23,31,51,44,43
Enterococcus faecalis,35487,30788,39308,33644,37449,38416,40719
Limosilactobacillus fermentum,17800,14763,17267,21412,29278,27607,32834
Salmonella enterica,52528,50492,47505,35505,44213,42563,44423
Salmonella bongori,46,175,39,24,116,158,21
Salmonella sp. WGH-01,43,30,46,NA,NA,NA,NA
Escherichia coli,35641,42759,31305,23132,25756,22193,28414
Escherichia albertii,74,51,56,37,47,30,30
Escherichia fergusonii,47,29,36,31,26,NA,33
Escherichia sp. E4742,35,NA,26,NA,NA,NA,NA
Escherichia marmotae,37,NA,23,24,NA,NA,NA
Shigella flexneri,988,418,NA,NA,NA,NA,NA
Shigella dysenteriae,148,122,160,NA,NA,NA,NA
Klebsiella pneumoniae,141,113,106,174,95,72,173
Pseudomonas aeruginosa,25171,22850,17889,16932,29113,25293,36320
Cryptococcus neoformans,8148,6282,9157,6778,5312,4852,5644
Saccharomyces cerevisiae,7417,8609,8354,7157,6710,7600,6436
Saccharomyces paradoxus,76,66,78,47,63,59,57
Lactuca sativa,33,NA,NA,NA,NA,NA,NA
